"location","name","peopleName","gentile","inseeCode"
"http://fr.dbpedia.org/resource/Aubenas","Aubenas","Albenassiens, Albenassiennes","Albenassiens, Albenassiennes","07019"
"http://fr.dbpedia.org/resource/Aubigny-sur-Nère","Aubigny-sur-Nère","Albiniens","Albiniens","18015"
"http://fr.dbpedia.org/resource/Aubusson_(Orne)","Aubusson (Orne)","Aubussonnais","Aubussonnais","61011"
"http://fr.dbpedia.org/resource/Aucaleuc","Aucaleuc","Aucaleuens","Aucaleuens","22003"
"http://fr.dbpedia.org/resource/Aucamville_(Haute-Garonne)","Aucamville (Haute-Garonne)","Aucamvillois","Aucamvillois","31022"
"http://fr.dbpedia.org/resource/Auch","Auch","Auscitains","Auscitains","32013"
"http://fr.dbpedia.org/resource/Aumont-Aubrac","Aumont-Aubrac","Aumonais","Aumonais","48009"
"http://fr.dbpedia.org/resource/Aunay-les-Bois","Aunay-les-Bois","Aunais","Aunais","61013"
"http://fr.dbpedia.org/resource/Aunou-le-Faucon","Aunou-le-Faucon","Aunouais","Aunouais","61014"
"http://fr.dbpedia.org/resource/Aunou-sur-Orne","Aunou-sur-Orne","Aulnois","Aulnois","61015"
"http://fr.dbpedia.org/resource/Aups","Aups","Aupsois","Aupsois","83007"
"http://fr.dbpedia.org/resource/Auriac_(Corrèze)","Auriac (Corrèze)","Auriacois","Auriacois","19014"
"http://fr.dbpedia.org/resource/Aurillac","Aurillac","Aurillacois","Aurillacois","15014"
"http://fr.dbpedia.org/resource/Aussonne","Aussonne","Aussonnais","Aussonnais","31032"
"http://fr.dbpedia.org/resource/Autheuil_(Orne)","Autheuil (Orne)","Autoliens","Autoliens","61016"
"http://fr.dbpedia.org/resource/Autrechêne","Autrechêne","Autrechênois","Autrechênois","90082"
"http://fr.dbpedia.org/resource/Autun","Autun","Autunois, Autunoises","Autunois, Autunoises","71014"
"http://fr.dbpedia.org/resource/Auxelles-Bas","Auxelles-Bas","Trissous","Trissous","90005"
"http://fr.dbpedia.org/resource/Auxelles-Haut","Auxelles-Haut","Quichelots","Quichelots","90006"
"http://fr.dbpedia.org/resource/Avernes-Saint-Gourgon","Avernes-Saint-Gourgon","Avernais","Avernais","61018"
"http://fr.dbpedia.org/resource/Avernes-sous-Exmes","Avernes-sous-Exmes","Avernais","Avernais","61019"
