"location", "name", "demonym", "inseeCode"
"http://dbpedia.org/resource/Chênehutte-Trèves-Cunault", "Chênehutte-Trèves-Cunault", "Chênehuttois, Chênehuttoise", 49094
"http://dbpedia.org/resource/Chênehutte-Trèves-Cunault", "Chênehutte-Trèves-Cunault", "Cunaldien, Cunaldienne", 49094
"http://dbpedia.org/resource/Chênehutte-Trèves-Cunault", "Chênehutte-Trèves-Cunault", "Trèvois, Trèvoise", 49094
"http://dbpedia.org/resource/Clairefougère", "Clairefougère", "Clarificiens", 61109
"http://dbpedia.org/resource/Clarafond-Arcine", "Clarafond-Arcine", "Clarcinois", 74077
"http://dbpedia.org/resource/Clefs,_Maine-et-Loire", "Clefs", "Cléfois, Cléfoise", 49101
"http://dbpedia.org/resource/Clefs,_Maine-et-Loire", "Clefs-Val d'Anjou", "Cléfois, Cléfoise", 49101
"http://dbpedia.org/resource/Clermont-Créans", "Clermont-Créans", "Clermontois, Clermontoise", 72084
"http://dbpedia.org/resource/Cléry-Saint-André", "Cléry-Saint-André", "Cléricois", 45098
"http://dbpedia.org/resource/Cléré-sur-Layon", "Cléré-sur-Layon", "Cléréen, Cléréenne", 49102
"http://dbpedia.org/resource/Cogners", "Cogners", "Cognerois, Cogneroise", 72085
"http://dbpedia.org/resource/Coiffy-le-Bas", "Coiffy-le-Bas", "Coifféens, Coifféennes", 52135
"http://dbpedia.org/resource/Coiffy-le-Haut", "Coiffy-le-Haut", "Cofféens", 52136
"http://dbpedia.org/resource/Coinces", "Coinces", "Coinçois", 45099
"http://dbpedia.org/resource/Colombier-Saugnieu", "Colombier-Saugnieu", "Colombards", 69299
"http://dbpedia.org/resource/Combleux", "Combleux", "Combleusiennes, Combleusiens", 45100
"http://dbpedia.org/resource/Combreux", "Combreux", "Combreusiens", 45101
"http://dbpedia.org/resource/Commeaux", "Commeaux", "Commelais", 61114
"http://dbpedia.org/resource/Commerveil", "Commerveil", "Commerveillais, Commerveillaise", 72086
"http://dbpedia.org/resource/Concourson-sur-Layon", "Concourson-sur-Layon", "Concoursonnais, Concoursonnaise", 49104
"http://dbpedia.org/resource/Condes,_Haute-Marne", "Condes (Haute-Marne)", "Condois, Condoises", 52141
"http://dbpedia.org/resource/Condé-sur-Sarthe", "Condé-sur-Sarthe", "Condéens", 61117
"http://dbpedia.org/resource/Conflans-en-Jarnisy", "Conflans-en-Jarnisy", "Conflanais", 54136
"http://dbpedia.org/resource/Conflans-sur-Anille", "Conflans-sur-Anille", "Conflanais, Conflanaise", 72087
"http://dbpedia.org/resource/Conflans-sur-Loing", "Conflans-sur-Loing", "Conflanais", 45102
"http://dbpedia.org/resource/Conlie", "Conlie", "Conlinois, Conlinoise", 72089
"http://dbpedia.org/resource/Connerré", "Connerré", "Conneréen, Conneréenne", 7224
"http://dbpedia.org/resource/Cons-Sainte-Colombe", "Cons-Sainte-Colombe", "Colombins / Colombines", 74084
"http://dbpedia.org/resource/Contamine-Sarzin", "Contamine-Sarzin", "Contaminois", 74086
"http://dbpedia.org/resource/Contes,_Alpes-Maritimes", "Contes (Alpes-Maritimes)", "Contois", 6048
"http://dbpedia.org/resource/Contigné", "Contigné", "Contignéen, Contignéenne", 49105
"http://dbpedia.org/resource/Contilly", "Contilly", "Contillais, Contillaise", 72091
"http://dbpedia.org/resource/Coole,_Marne", "Coole (Marne)", "Coolat", 51167
"http://dbpedia.org/resource/Corbeilles", "Corbeilles", "Corbeillois", 45103
"http://dbpedia.org/resource/Cormes", "Cormes", "Corméen, Corméenne", 72093
"http://dbpedia.org/resource/Cornillé-les-Caves", "Cornillé-les-Caves", "Cornillois, Cornilloise", 49107
"http://dbpedia.org/resource/Corné", "Corné", "Cornéais, Cornéaise", 49106
"http://dbpedia.org/resource/Coron,_Maine-et-Loire", "Coron (Maine-et-Loire)", "Coronnais, Coronnaise", 49109
"http://dbpedia.org/resource/Corquilleroy", "Corquilleroy", "Guilleroys et Guilleroises", 45104
"http://dbpedia.org/resource/Cortrat", "Cortrat", "Cortrèziens", 45105
